# formal<TAB>nickname. Fixed map used for the nickname surface form.
Robert	Bob
William	Bill
Richard	Rick
James	Jim
John	Jack
Charles	Chuck
Thomas	Tom
Joseph	Joe
Michael	Mike
Daniel	Dan
Matthew	Matt
Anthony	Tony
Christopher	Chris
Andrew	Andy
Edward	Ed
Kenneth	Ken
Steven	Steve
Timothy	Tim
Jeffrey	Jeff
Gregory	Greg
Ronald	Ron
Donald	Don
Lawrence	Larry
Raymond	Ray
Benjamin	Ben
Samuel	Sam
Nicholas	Nick
Patrick	Pat
Alexander	Alex
Jonathan	Jon
Nathaniel	Nate
Zachary	Zach
Frederick	Fred
Leonard	Leo
Gerald	Gerry
Eugene	Gene
Douglas	Doug
Peter	Pete
Vincent	Vince
Elizabeth	Liz
Margaret	Peggy
Katherine	Kate
Catherine	Cathy
Patricia	Trish
Jennifer	Jen
Jessica	Jess
Rebecca	Becky
Deborah	Debbie
Susan	Sue
Barbara	Barb
Dorothy	Dot
Victoria	Vicky
Kimberly	Kim
Christina	Tina
Stephanie	Steph
Samantha	Sammy
Alexandra	Lexi
Jacqueline	Jackie
Melissa	Mel
Theresa	Terri
Pamela	Pam
Cynthia	Cindy
Abigail	Abby
Madeline	Maddie
Eleanor	Nora
Josephine	Josie
